0.000000000 4.62942e-21 app:body:zebracorn_labs,t:0:err=2.50971e-26 app:tag:2,t:0:err=4.06341e-21 app:cam:cam0,t:0:err=5.65991e-22
175.162197079 80.9142 rpp:cam:cam0,t:175162:err=0.00265472 proj:cam0-tag:2,t:175162:err=2.49864 proj:cam0-tag:8,t:175162:err=55.22 proj:cam0-tag:14,t:175162:err=3.22226 rpp:cam:cam1,t:175162:err=2.96518e-05 proj:cam1-tag:4,t:175162:err=1.33487 rpp:cam:cam2,t:175162:err=0.00229101 proj:cam2-tag:8,t:175162:err=8.58417 proj:cam2-tag:12,t:175162:err=9.77925 rpp:cam:cam3,t:175162:err=0.000139021 proj:cam3-tag:1,t:175162:err=0.269913
175.178948969 80.7165 rpp:cam:cam0,t:175178:err=0.00255928 proj:cam0-tag:2,t:175178:err=2.50007 proj:cam0-tag:8,t:175178:err=55.5515 proj:cam0-tag:14,t:175178:err=3.26846 rpp:cam:cam1,t:175178:err=3.17494e-05 proj:cam1-tag:4,t:175178:err=1.40222 rpp:cam:cam2,t:175178:err=0.00228663 proj:cam2-tag:8,t:175178:err=8.2951 proj:cam2-tag:12,t:175178:err=9.42953 rpp:cam:cam3,t:175178:err=0.000133882 proj:cam3-tag:1,t:175178:err=0.264688
175.195565178 80.6872 rpp:cam:cam0,t:175195:err=0.00273436 proj:cam0-tag:2,t:175195:err=2.52066 proj:cam0-tag:8,t:175195:err=55.0767 proj:cam0-tag:14,t:175195:err=3.17477 rpp:cam:cam1,t:175195:err=2.59364e-05 proj:cam1-tag:4,t:175195:err=1.31644 rpp:cam:cam2,t:175195:err=0.00240166 proj:cam2-tag:8,t:175195:err=8.76985 proj:cam2-tag:12,t:175195:err=9.56977 rpp:cam:cam3,t:175195:err=0.00013607 proj:cam3-tag:1,t:175195:err=0.253747
175.212313196 81.4187 rpp:cam:cam0,t:175212:err=0.00268521 proj:cam0-tag:2,t:175212:err=2.47665 proj:cam0-tag:8,t:175212:err=55.2816 proj:cam0-tag:14,t:175212:err=3.25594 rpp:cam:cam1,t:175212:err=3.21677e-05 proj:cam1-tag:4,t:175212:err=1.33544 rpp:cam:cam2,t:175212:err=0.00234009 proj:cam2-tag:8,t:175212:err=8.86633 proj:cam2-tag:12,t:175212:err=9.93369 rpp:cam:cam3,t:175212:err=0.000133547 proj:cam3-tag:1,t:175212:err=0.263861
175.229015677 81.3999 rpp:cam:cam0,t:175229:err=0.00274293 proj:cam0-tag:2,t:175229:err=2.552 proj:cam0-tag:8,t:175229:err=55.7069 proj:cam0-tag:14,t:175229:err=3.22255 rpp:cam:cam1,t:175229:err=2.68613e-05 proj:cam1-tag:4,t:175229:err=1.36992 rpp:cam:cam2,t:175229:err=0.0024371 proj:cam2-tag:8,t:175229:err=8.60946 proj:cam2-tag:12,t:175229:err=9.6599 rpp:cam:cam3,t:175229:err=0.000140172 proj:cam3-tag:1,t:175229:err=0.273833
175.245621678 82.2863 rpp:cam:cam0,t:175245:err=0.00261915 proj:cam0-tag:2,t:175245:err=2.47639 proj:cam0-tag:8,t:175245:err=55.7984 proj:cam0-tag:14,t:175245:err=3.24668 rpp:cam:cam1,t:175245:err=3.49331e-05 proj:cam1-tag:4,t:175245:err=1.34496 rpp:cam:cam2,t:175245:err=0.00220474 proj:cam2-tag:8,t:175245:err=8.94456 proj:cam2-tag:12,t:175245:err=10.2318 rpp:cam:cam3,t:175245:err=0.000129603 proj:cam3-tag:1,t:175245:err=0.23845
175.262340320 81.9626 rpp:cam:cam0,t:175262:err=0.00266604 proj:cam0-tag:2,t:175262:err=2.50943 proj:cam0-tag:8,t:175262:err=55.3355 proj:cam0-tag:14,t:175262:err=3.23877 rpp:cam:cam1,t:175262:err=3.69785e-05 proj:cam1-tag:4,t:175262:err=1.39651 rpp:cam:cam2,t:175262:err=0.00229207 proj:cam2-tag:8,t:175262:err=8.94539 proj:cam2-tag:12,t:175262:err=10.2671 rpp:cam:cam3,t:175262:err=0.000139752 proj:cam3-tag:1,t:175262:err=0.264795
175.279149779 81.5153 rpp:cam:cam0,t:175279:err=0.00273085 proj:cam0-tag:2,t:175279:err=2.4281 proj:cam0-tag:8,t:175279:err=55.536 proj:cam0-tag:14,t:175279:err=3.23516 rpp:cam:cam1,t:175279:err=2.9612e-05 proj:cam1-tag:4,t:175279:err=1.31651 rpp:cam:cam2,t:175279:err=0.00239059 proj:cam2-tag:8,t:175279:err=8.64556 proj:cam2-tag:12,t:175279:err=10.0846 rpp:cam:cam3,t:175279:err=0.000132793 proj:cam3-tag:1,t:175279:err=0.264167
175.295924965 82.6786 rpp:cam:cam0,t:175295:err=0.00275192 proj:cam0-tag:2,t:175295:err=2.4845 proj:cam0-tag:8,t:175295:err=56.1126 proj:cam0-tag:14,t:175295:err=3.24941 rpp:cam:cam1,t:175295:err=3.55434e-05 proj:cam1-tag:4,t:175295:err=1.35563 rpp:cam:cam2,t:175295:err=0.00237197 proj:cam2-tag:8,t:175295:err=8.94394 proj:cam2-tag:12,t:175295:err=10.2699 rpp:cam:cam3,t:175295:err=0.000134417 proj:cam3-tag:1,t:175295:err=0.257351
175.312570518 81.0176 rpp:cam:cam0,t:175312:err=0.00272992 proj:cam0-tag:2,t:175312:err=2.48394 proj:cam0-tag:8,t:175312:err=55.234 proj:cam0-tag:14,t:175312:err=3.32936 rpp:cam:cam1,t:175312:err=4.22872e-05 proj:cam1-tag:4,t:175312:err=1.35795 rpp:cam:cam2,t:175312:err=0.0023785 proj:cam2-tag:8,t:175312:err=8.77541 proj:cam2-tag:12,t:175312:err=9.56399 rpp:cam:cam3,t:175312:err=0.000139965 proj:cam3-tag:1,t:175312:err=0.267689
175.329225255 81.9534 rpp:cam:cam0,t:175329:err=0.00262261 proj:cam0-tag:2,t:175329:err=2.44196 proj:cam0-tag:8,t:175329:err=55.9499 proj:cam0-tag:14,t:175329:err=3.23104 rpp:cam:cam1,t:175329:err=3.55328e-05 proj:cam1-tag:4,t:175329:err=1.33502 rpp:cam:cam2,t:175329:err=0.00222501 proj:cam2-tag:8,t:175329:err=8.88037 proj:cam2-tag:12,t:175329:err=9.85726 rpp:cam:cam3,t:175329:err=0.000131935 proj:cam3-tag:1,t:175329:err=0.252867
